Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;34;27;41;100,0;28;28;0;34;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;34;27;41;100,0;28;28;0;34;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;32;25;39;100,0;28;28;0;32;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;66;52;80;100,0;28;28;0;66;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;26;20;32;100,0;31;31;0;26;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;25;19;31;100,0;31;31;0;25;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;25;19;31;100,0;31;31;0;25;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;26;20;32;100,0;31;31;0;26;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;51;39;63;100,0;31;31;0;51;0,0;Totalt;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;37;27;47;100,0;30;30;0;37;0,0;1;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;41;30;52;100,0;30;30;0;41;0,0;2;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;41;30;52;100,0;30;30;0;41;0,0;Totalt i retning Muse`gata;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;37;27;47;100,0;30;30;0;37;0,0;Totalt i retning Nyløkken/Telegrafbukta;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;78;58;98;100,0;30;30;0;78;0,0;Totalt;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;38;30;46;100,0;31;31;0;38;0,0;1;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;70;59;81;100,0;31;31;0;70;0,0;2;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;70;59;81;100,0;31;31;0;70;0,0;Totalt i retning Vervarslinga i Nord-Norge;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;38;30;46;100,0;31;31;0;38;0,0;Totalt i retning Rundkjøring-Fv862-Langnesbakken;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;107;89;125;100,0;31;31;0;107;0,0;Totalt;-;-;-;-;-;-;-;-
